Australia - Points: 19 +/-: 19/8, Wins: 6, Losses: 1, Draws: 1
Malaisia - Points: 18 +/-: 13/7, Wins: 6, Losses: 2, Draws: 0
Indonesia - Points: 14 +/-: 11/8, Wins: 4, Losses: 2, Draws: 2
Philipin - Points: 11 +/-: 5/8, Wins: 3, Losses: 3, Draws: 2
Singapore - Points: 7 +/-: 4/9, Wins: 2, Losses: 5, Draws: 1
ThaiLand - Points: 5 +/-: 4/10, Wins: 1, Losses: 5, Draws: 2
Myanmar - Points: 4 +/-: 4/13, Wins: 1, Losses: 6, Draws: 1
Campuchia - Points: 1 +/-: 0/12, Wins: 0, Losses: 7, Draws: 1
The season terminated. 

The season start: 

Indonesia - Points: 21 +/-: 15/5, Wins: 7, Losses: 1, Draws: 0
VietNam - Points: 19 +/-: 18/10, Wins: 6, Losses: 1, Draws: 1
Malaisia - Points: 11 +/-: 8/6, Wins: 2, Losses: 1, Draws: 5
Myanmar - Points: 11 +/-: 6/6, Wins: 3, Losses: 3, Draws: 2
Australia - Points: 10 +/-: 7/7, Wins: 2, Losses: 2, Draws: 4
ThaiLand - Points: 8 +/-: 7/9, Wins: 2, Losses: 4, Draws: 2
Philipin - Points: 6 +/-: 3/7, Wins: 0, Losses: 2, Draws: 6
Singapore - Points: 6 +/-: 3/8, Wins: 1, Losses: 4, Draws: 3
Campuchia - Points: 3 +/-: 0/9, Wins: 0, Losses: 5, Draws: 3
The season terminated. 

The season start: 

VietNam - Points: 22 +/-: 16/5, Wins: 7, Losses: 0, Draws: 1
Indonesia - Points: 16 +/-: 11/7, Wins: 5, Losses: 2, Draws: 1
Malaisia - Points: 14 +/-: 9/7, Wins: 4, Losses: 2, Draws: 2
Australia - Points: 14 +/-: 8/7, Wins: 4, Losses: 2, Draws: 2
Myanmar - Points: 13 +/-: 5/3, Wins: 4, Losses: 3, Draws: 1
ThaiLand - Points: 7 +/-: 7/9, Wins: 1, Losses: 3, Draws: 4
Philipin - Points: 5 +/-: 4/9, Wins: 1, Losses: 5, Draws: 2
Singapore - Points: 5 +/-: 1/6, Wins: 0, Losses: 3, Draws: 5
Campuchia - Points: 2 +/-: 1/9, Wins: 0, Losses: 6, Draws: 2
The season terminated. 

The season start: 

VietNam - Points: 24 +/-: 21/9, Wins: 8, Losses: 0, Draws: 0
Malaisia - Points: 19 +/-: 14/4, Wins: 6, Losses: 1, Draws: 1
Indonesia - Points: 13 +/-: 7/5, Wins: 4, Losses: 3, Draws: 1
ThaiLand - Points: 13 +/-: 6/5, Wins: 4, Losses: 3, Draws: 1
Australia - Points: 12 +/-: 9/8, Wins: 3, Losses: 2, Draws: 3
Campuchia - Points: 9 +/-: 2/6, Wins: 2, Losses: 3, Draws: 3
Myanmar - Points: 5 +/-: 3/8, Wins: 1, Losses: 5, Draws: 2
Singapore - Points: 4 +/-: 2/10, Wins: 1, Losses: 6, Draws: 1
Philipin - Points: 2 +/-: 2/11, Wins: 0, Losses: 6, Draws: 2
The season terminated. 

The season start: 

Malaisia - Points: 18 +/-: 15/9, Wins: 6, Losses: 2, Draws: 0
Australia - Points: 18 +/-: 15/10, Wins: 6, Losses: 2, Draws: 0
VietNam - Points: 17 +/-: 17/10, Wins: 5, Losses: 1, Draws: 2
Indonesia - Points: 16 +/-: 9/6, Wins: 5, Losses: 2, Draws: 1
Philipin - Points: 12 +/-: 8/7, Wins: 3, Losses: 2, Draws: 3
ThaiLand - Points: 9 +/-: 5/6, Wins: 2, Losses: 3, Draws: 3
Myanmar - Points: 5 +/-: 2/7, Wins: 1, Losses: 5, Draws: 2
Campuchia - Points: 3 +/-: 1/9, Wins: 0, Losses: 5, Draws: 3
Singapore - Points: 2 +/-: 0/8, Wins: 0, Losses: 6, Draws: 2
The season terminated. 

The season start: 

VietNam - Points: 16 +/-: 18/10, Wins: 4, Losses: 0, Draws: 4
Malaisia - Points: 15 +/-: 11/6, Wins: 4, Losses: 1, Draws: 3
Australia - Points: 14 +/-: 15/8, Wins: 3, Losses: 0, Draws: 5
Myanmar - Points: 14 +/-: 7/7, Wins: 4, Losses: 2, Draws: 2
Indonesia - Points: 9 +/-: 11/11, Wins: 2, Losses: 3, Draws: 3
Singapore - Points: 9 +/-: 6/7, Wins: 2, Losses: 3, Draws: 3
ThaiLand - Points: 8 +/-: 8/10, Wins: 1, Losses: 2, Draws: 5
Campuchia - Points: 5 +/-: 1/11, Wins: 1, Losses: 5, Draws: 2
Philipin - Points: 3 +/-: 3/10, Wins: 0, Losses: 5, Draws: 3
The season terminated. 

The season start: 

VietNam - Points: 20 +/-: 17/10, Wins: 6, Losses: 0, Draws: 2
Indonesia - Points: 17 +/-: 13/6, Wins: 5, Losses: 1, Draws: 2
Singapore - Points: 14 +/-: 9/7, Wins: 4, Losses: 2, Draws: 2
Philipin - Points: 11 +/-: 4/3, Wins: 2, Losses: 1, Draws: 5
Malaisia - Points: 9 +/-: 7/9, Wins: 2, Losses: 3, Draws: 3
Myanmar - Points: 8 +/-: 6/7, Wins: 1, Losses: 2, Draws: 5
Australia - Points: 7 +/-: 6/10, Wins: 2, Losses: 5, Draws: 1
ThaiLand - Points: 5 +/-: 5/10, Wins: 1, Losses: 5, Draws: 2
Campuchia - Points: 5 +/-: 1/6, Wins: 1, Losses: 5, Draws: 2
The season terminated. 

The season start: 

